tips,ll
Nice decor and it even has garden seating too.,"51.4918632507,-0.0448455996811"
"If you happen to be visiting, be sure to check out the amazing roof garden.","51.5200201657,-0.0360898762354"
Open Garden Squares Weekend - 8-9 June 2013 - Saturday 10:00–17:00,"51.5063097409,-0.0381128924457"
Go for Monday Night Kayaking!,"51.4940571388,-0.024161243822"
Watch out for the cat poo!,"51.5048025185,0.0762820243835"
"This only happens here once every 25 years, so to get out on the boats was unforgettable. Amazing sights of London.","51.4926122869,0.0675328073096"
"22 August: In Victorian times, Erith attempted to style itself as an upmarket pleasure resort, with visitors arriving by paddle steamer to its deep water pier from Central London.","51.4818174964,0.18603045618"
"Lovely area with a nice surrounding, ideal for run/walk. Great view from Emirates cable car","51.5077455546,0.0193211465774"
Great drinks an theatre by the river!,"51.4984260982,0.0124429165402"
Play piano in the docks..,"51.518528968,-0.0024591680618"
Let it snow let it snow ...,"51.5064122607,-0.00863639642067"
"Brilliant place to take scouts, staying on board The Lord Amory. Water activities in the enclosed dock under Canary Wharf.","51.5010334415,-0.0100221592956"
Closed on 12/11/2014 to make room for 3600 new apartments. R.I.P. :(,"51.5026548453,-0.0139455212028"
Gute Aussicht auf 1 Canada Square und die Skyline Harbour Exchange,"51.4969817611,-0.0156180113861"
"In The World Is Not Enough (1999) James Bond performs a barrel roll in his speedboat, jumping off the back of his victim's boat and smashing through her deck-mounted HK21 at Millwall Outer Dock.","51.4928168107,-0.0157266729209"
Check out the footbridge.,"51.5024124829,-0.02171688704"
Views and sunsets overlooking Canary Wharf...,"51.491301717,-0.0317639946507"
Check the cruising association bar (no not that kind of cruising - boating related) for cheap beers and interesting characters!,"51.5115335952,-0.038764199911"
Nice little place to walk around.,"51.4935759546,-0.0383663613967"
"The Howland Great Wet Dock opened here in 1693, at the time the largest commercial dock in the world. It was renamed Greenland dock and became a base for whaling ships in 1793.","51.4936941342,-0.0427050775828"
Cool hangout,"51.5317441942,-0.0421096650843"
"Try the fish pedicure, it is amazing. Good deal via Living social website!","51.5145937544,-0.137002915934"
Walk or run around rook island and along the river roding for some of the most country like scenery in London.,"51.5673008891,0.0412020498457"
The only beach on the island apparently... enjoy!,"51.4949578567,-0.00592231750488"
Help preserve this beautiful park and join Friends of Island Gardens http://www.facebook.com/friendsofislandgardens,"51.4868959881,-0.00892385794983"
Still feels a bit undiscovered and awesome views across the Thames. Check out the sound bowls in the lighthouse. Catch it before the island spoils it.,"51.5080880516,0.00836849212646"
"The name of this place has nothing to do with birds, but with the exotic goods that were once brought here from the Canary Islands. Canary comes from the Latin ‘canaria’, so ‘Islands of the dogs’.","51.5040912942,-0.0198567858453"
An island with loads of ducks,"51.5031463063,-0.130591392517"
St. Mary's Island is a heaven,"51.406039994,0.539449050015"
"A hotel once stood on this Thames river island, and was a legendary rock and jazz venue in the 1960s, hosting the Who, Stones, Pink Floyd etc. It burned down mysteriously in 1971.","51.4455961668,-0.325880632167"
Walk round the lake,"51.4547824325,0.116128921509"
Great place to go running. Beautiful lakes and streams.,"51.5685176124,0.0692895626374"
"Good place to walk and cycle. Big lake, 2 sailing clubs, golf course, fishing, pub / restaurant, kids play area etc.","51.5947484594,0.0977182388306"
"During the summer, you can hire a pedal boat and go around on the lake - it's really nice","51.5556482974,0.197925567627"
Used to be my short cut to work. A nice walk around lake. Small cafe.,"51.5673008891,0.0412020498457"
Great place if you've got nowhere else to swim in London,"51.5059056062,0.0171546599997"
Rent a boat! 12£ for a hour.  +8£ deposit.,"51.5786775047,0.00847663809049"
"6 September: 4-acre wetland nature reserve has two lakes, with raised walkways for visitors, and hosts frogs, toads and newts, and significant numbers of dragonflies, damselflies and butterflies.","51.4954698907,0.0155903838757"
"Greenwich Park offers a wide range of facilities and points of interest, including a child-friendly boating lake, six tennis courts and the National Maritime Museum just on the perimeter.","51.4779083393,-0.000386238098145"
Check out the lake at the far end,"51.5583965425,0.0282382965088"
Кстати здесь работает бар .)) а бармен рассказывает как сюда заходили актеры :)),"51.499354447,0.123837177967"
You may know this better as the Misfits Youth Centre,"51.5007894659,0.123731919606"
visit the new pagoda near overlooking the lake,"51.5368063414,-0.0371217727661"
Beautiful park and nice play area for the kids with a boating lake.,"51.4052508436,0.176701135785"
"Bring seeds, not bread to feed the ducks! Bread is really bad for their digestion :)","51.5654935784,0.217357877423"
Go mid summer see dogs getting wet. Go Spring see duckings. Go winter see the concrete bottom (drained),"51.4815345886,-0.00114131081219"
"Excellently located, quiet place to live. Some small, nice shops across Amsterdam Road.","51.4952611396,-0.00718265295985"
"Beautiful views and great park nearby, which could be quite muddy at this time of the year (winter), so grab your wellies and go for a walk!","51.5833011589,0.0171444986475"
"Bring some bread and feed the ducks, seagals, pigeons and other cute birds. They will be so happy.","51.5063097409,-0.0381128924457"
Very chilli here,"51.5026267262,-0.0446485890611"
Hire a rowing boat or pedalo for £10.50 for half an hour - open 11am to 5pm,"51.5332639782,-0.0431578136279"
"Always better when the ducklings are about. Any spare bread, feed them.","51.5006972877,-0.0438620339812"
"This is London’s only lighthouse, and also used to be where all of England’s sea-markers, beacons and buoys were made under a monopoly granted by Henry VIII.","51.5080880516,0.00836849212646"
Magical place for weekend trip. Great for music lovers! You can also go on top of the lighthouse and have a view of Canary Wharf skyscrapers 💓,"51.5077109093,0.00820328504559"
Back of it has beautiful cafe and garden free to enter. Very lovely..♡,"51.516483415,-0.210991632483"
Good for rowing boats and mountain biking,"51.5786775047,0.00847663809049"
Contains some good trails for Mountain Bike Riders.,"51.5197279878,0.255565965732"
"Greenwich Park offers a wide range of facilities and points of interest, including a child-friendly boating lake, six tennis courts and the National Maritime Museum just on the perimeter.","51.4779083393,-0.000386238098145"
Visitor Centre,"51.4867999576,0.227554715693"
"Bring some bread and feed the ducks, seagals, pigeons and other cute birds. They will be so happy.","51.5063097409,-0.0381128924457"
Community centre & local shops,"51.4782825351,0.0551891326904"
"""Perhaps the most peaceful – and desolate – spot in London. By the Thames Barrier, there's a visitors' centre with no visitors...""","51.4971487117,0.0370788574219"
Nice place. Convenient shops and station.,"51.5622924411,0.0934837016442"
Great for bird watching!,"51.5093638513,0.00322107212307"
Don't get mugged?,"51.5298520625,-0.0246548652649"
Lovely place to chill for lunch,"51.4121822114,0.0700710013183"
Walk up to the top of Stave Hill for a great view of south east London,"51.5006016961,-0.0382701198351"
Kids love it plus it's a good place to wear them out.,"51.552062939,0.28232063755"
Nice for a Sunday walk at the park.,"51.5933179157,0.0053160504309"
To be honest it could be better maintained.,"51.5583965425,0.0282382965088"
If you're a climber or even if you're not you should check out the boulders they're great fun!,"51.5947484594,0.0977182388306"
"16 August: Watch the sunset at the Point. On the hill above Greenwich, this is one of London's finest views. As the day draws to a close, its two benches are a popular spot.","51.4732016306,-0.00929281936065"
Go for Monday Night Kayaking!,"51.4940571388,-0.024161243822"
The webite for The Eleanor Arms,"51.5351492133,-0.0331291058553"
Play piano in the docks..,"51.518528968,-0.0024591680618"
The chairs are very low. I feel like a hobbit (even more so than usual.,"51.5021485779,0.00436061459679"
"Worst roundabout. Unclear lanes, lunatic drivers.AVOID!!!!","51.5814641519,0.0547395675412"
Avoid 7am to 8pm Mon to Fri and shopping hours weekends,"51.5711753942,0.0149793505031"
"This glamorous Art Deco London showpiece as built in 1936, next to the remains of a medieval royal palace, and surrounded by 19 acres of garden. A striking visit!","51.4472272129,0.0485587120056"
The West gate of the Royal Naval College was used as a double for the gates of Buckingham Palace for a scene in National Treasure: Book of Secrets (2007) as Ben and Abigail look for the Resolute Desk.,"51.4832336577,-0.00557899475098"
"The principal building was completed in 1635 for Henrietta Maria, wife of Charles I. It was built on the grounds of the former Tudor royal palace where Elizabeth I was born","51.4813292233,-0.0055809605092"
Amazing experience here collecting my Gold Duke of Edinburgh Award. Especially as we met him himself!,"51.5046322025,-0.136887842237"
"While the daily changing of the guards is a tourist magnet, this majestic palace is a London icon and home of the Queen. You know that she is in residence when the flag is flying above the palace!","51.5016882969,-0.140950260268"
"The official London residence of the Archbishop of Canterbury since the 1200’s. The Lollard Tower was a prison for suspected heretics in the 16th century, and their graffiti can still be seen.","51.4949778949,-0.1205517289"
